benchmark,nodes,nets,cut,best_cut,gap_percent,runtime_seconds
ibm01,12752,14111,4179,200,1989.50,1
ibm02,19601,19584,5454,307,1676.55,0
ibm03,23136,27401,7439,951,682.23,1
ibm04,27507,31970,9308,573,1524.43,1
ibm05,29347,28446,9745,1706,471.22,2
ibm06,32498,34826,10016,962,941.16,2
ibm07,45926,48117,16616,878,1792.48,3
ibm08,51309,50513,13172,1140,1055.44,5
ibm09,53395,60902,18457,620,2876.94,5
ibm10,69429,75196,21757,1253,1636.39,11
ibm11,70558,81454,21991,1051,1992.39,9
ibm12,71076,77240,22552,1919,1075.20,11
ibm13,84199,99666,31174,831,3651.38,35
ibm14,147605,152772,47174,1842,2461.02,108
ibm15,161570,186608,52887,2730,1837.25,162
ibm16,183484,190048,61314,1827,3255.99,198
ibm17,185495,189581,54312,2270,2292.60,188
ibm18,210613,201920,56268,1521,3599.41,278
