benchmark,nodes,nets,parts,min_r,cut,imbalance,runtime_seconds
ibm01,12752,14111,4,0.0,4105,0,0.014994
ibm02,19601,19584,4,0.0,7768,1,0.019377
ibm03,23136,27401,4,0.0,7849,0,0.018041
ibm04,27507,31970,4,0.0,10241,1,0.020613
ibm05,29347,28446,4,0.0,10794,1,0.024662
ibm06,32498,34826,4,0.0,13519,1,0.025733
ibm07,45926,48117,4,0.0,16905,1,0.034993
ibm08,51309,50513,4,0.0,16352,1,0.044482
ibm09,53395,60902,4,0.0,19531,1,0.044338
ibm10,69429,75196,4,0.0,24001,1,0.057804
ibm11,70558,81454,4,0.0,26176,1,0.056057
ibm12,71076,77240,4,0.0,29150,0,0.071876
ibm13,84199,99666,4,0.0,29541,1,0.071414
ibm14,147605,152772,4,0.0,54832,1,0.120817
ibm15,161570,186608,4,0.0,61695,1,0.156770
ibm16,183484,190048,4,0.0,68669,0,0.180139
ibm17,185495,189581,4,0.0,69497,1,0.182704
ibm18,210613,201920,4,0.0,75020,1,0.182641
